# Image Name                           Asset Name         Game    Expansion                   AST1     AST2     AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description               Asset #   Printflag
bw-bonds-of-the-wild-front.png,        advanced-quests,   d2e,    bonds of the wild,          act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bonds of the wild,        xxxxx,    8
bw-bonds-of-the-wild-back.png,         advanced-quests,   d2e,    bonds of the wild,          act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bonds of the wild,        xxxxx,    8
cd-crown-of-destiny-front.png,         advanced-quests,   d2e,    crown of destiny,           act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   crown of destiny,         xxxxx,    8
cd-crown-of-destiny-back.png,          advanced-quests,   d2e,    crown of destiny,           act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   crown of destiny,         xxxxx,    8
cf-shadowside-watch-front.png,         advanced-quests,   d2e,    crusade of the forgotten,   act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   shadowside watch,         xxxxx,    8
cf-shadowside-watch-back.png,          advanced-quests,   d2e,    crusade of the forgotten,   act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   shadowside watch,         xxxxx,    8
gd-the-curse-of-iona-front.png,        advanced-quests,   d2e,    guardians of deephall,      act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the curse of iona,        xxxxx,    8
gd-the-curse-of-iona-back.png,         advanced-quests,   d2e,    guardians of deephall,      act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the curse of iona,        xxxxx,    8
lw-armed-to-the-teeth-front.png,       advanced-quests,   d2e,    lair of the wyrm,           act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   armed to the teeth,       xxxxx,    8
lw-armed-to-the-teeth-back.png,        advanced-quests,   d2e,    lair of the wyrm,           act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   armed to the teeth,       xxxxx,    8
lw-at-the-forge-front.png,             advanced-quests,   d2e,    lair of the wyrm,           act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   at the forge,             xxxxx,    8
lw-at-the-forge-back.png,              advanced-quests,   d2e,    lair of the wyrm,           act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   at the forge,             xxxxx,    8
