# Image Name                           Asset Name   Game   Expansion            AST1     AST2     AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description                   Asset #   Printflag
sotp-acolyte-of-saradyn-front.png,     agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   acolyte of saradyn - e1,      xxxxx,    8
sotp-acolyte-of-saradyn-back.png,      agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   acolyte of saradyn - e1,      xxxxx,    8
sotp-archive-of-arrizon-front.png,     agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   archive of arrizon - e1,      xxxxx,    8
sotp-archive-of-arrizon-back.png,      agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   archive of arrizon - e1,      xxxxx,    8
sotp-army-of-dalzunm-front.png,        agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   army of dal'zunm - e1,        xxxxx,    8
sotp-army-of-dalzunm-back.png,         agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   army of dal'zunm - e1,        xxxxx,    8
sotp-blood-and-betrayal-front.png,     agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   blood and betrayal - e1,      xxxxx,    8
sotp-blood-and-betrayal-back.png,      agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   blood and betrayal - e1,      xxxxx,    8
sotp-blood-will-tell-front.png,        agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   blood will tell - e1,         xxxxx,    8
sotp-blood-will-tell-back.png,         agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   blood will tell - e1,         xxxxx,    8
sotp-caladens-crossing-front.png,      agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   caladen's crossing - e1,      xxxxx,    8
sotp-caladens-crossing-back.png,       agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   caladen's crossing - e1,      xxxxx,    8
sotp-dead-or-drowning-front.png,       agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   dead or drowning - e1,        xxxxx,    8
sotp-dead-or-drowning-back.png,        agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   dead or drowning - e1,        xxxxx,    8
sotp-edge-of-dawn-front.png,           agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   edge of dawn - e1,            xxxxx,    8
sotp-edge-of-dawn-back.png,            agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   edge of dawn - e1,            xxxxx,    8
sotp-from-the-wreckage-front.png,      agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   from the wreckage - e1,       xxxxx,    8
sotp-from-the-wreckage-back.png,       agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   from the wreckage - e1,       xxxxx,    8
sotp-halls-of-toil-front.png,          agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   halls of toil - e1,           xxxxx,    8
sotp-halls-of-toil-back.png,           agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   halls of toil - e1,           xxxxx,    8
sotp-lord-of-flame-front.png,          agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lord of flame - e1,           xxxxx,    8
sotp-lord-of-flame-back.png,           agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lord of flame - e1,           xxxxx,    8
sotp-piercing-darkness-front.png,      agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   piercing darkness - e1,       xxxxx,    8
sotp-piercing-darkness-back.png,       agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   piercing darkness - e1,       xxxxx,    8
sotp-prison-of-khinn-front.png,        agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   prison of khinn - e1,         xxxxx,    8
sotp-prison-of-khinn-back.png,         agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   prison of khinn - e1,         xxxxx,    8
sotp-rellegars-rest-front.png,         agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rellegar's rest - e1,         xxxxx,    8
sotp-rellegars-rest-back.png,          agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rellegar's rest - e1,         xxxxx,    8
sotp-rise-of-urthko-front.png,         agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rise of urthko - e1,          xxxxx,    8
sotp-rise-of-urthko-back.png,          agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rise of urthko - e1,          xxxxx,    8
sotp-rite-of-the-red-dawn-front.png,   agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rite of the red dawn - e1,    xxxxx,    8
sotp-rite-of-the-red-dawn-back.png,    agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rite of the red dawn - e1,    xxxxx,    8
sotp-saradyn-in-flames-front.png,      agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   saradyn in flames - e1,       xxxxx,    8
sotp-saradyn-in-flames-back.png,       agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   saradyn in flames - e1,       xxxxx,    8
sotp-shadowfall-mountain-front.png,    agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   shadowfall mountain - e1,     xxxxx,    8
sotp-shadowfall-mountain-back.png,     agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   shadowfall mountain - e1,     xxxxx,    8
sotp-siege-of-skytower-front.png,      agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   siege of skytower - e1,       xxxxx,    8
sotp-siege-of-skytower-back.png,       agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   siege of skytower - e1,       xxxxx,    8
sotp-the-baron-returns-front.png,      agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the baron returns - e1,       xxxxx,    8
sotp-the-baron-returns-back.png,       agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the baron returns - e1,       xxxxx,    8
sotp-the-sunken-temple-front.png,      agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the sunken temple - e1,       xxxxx,    8
sotp-the-sunken-temple-back.png,       agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the sunken temple - e1,       xxxxx,    8
sotp-the-unearthed-tomb-front.png,     agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the unearthed tomb - e1,      xxxxx,    8
sotp-the-unearthed-tomb-back.png,      agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the unearthed tomb - e1,      xxxxx,    8
