# Image Name                       Asset Name   Game   Expansion              AST1    AST2     AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description             Asset #   Printflag
bg-baron-zachareth-front.png,      agents,      d2e,   base game,             act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-baron zachareth,      xxxxx,    8
bg-baron-zachareth-back.png,       agents,      d2e,   base game,             act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-baron zachareth,      xxxxx,    8
bg-belthir-front.png,              agents,      d2e,   base game,             act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-belthir,              xxxxx,    8
bg-belthir-back.png,               agents,      d2e,   base game,             act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-belthir,              xxxxx,    8
bg-lady-eliza-farrow-front.png,    agents,      d2e,   base game,             act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-lady eliza farrow,    xxxxx,    8
bg-lady-eliza-farrow-back.png,     agents,      d2e,   base game,             act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-lady eliza farrow,    xxxxx,    8
bg-lord-merick-farrow-front.png,   agents,      d2e,   base game,             act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-lord merick farrow,   xxxxx,    8
bg-lord-merick-farrow-back.png,    agents,      d2e,   base game,             act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-lord merick farrow,   xxxxx,    8
bg-sir-alric-farrow-front.png,     agents,      d2e,   base game,             act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-sir alric farrow,     xxxxx,    8
bg-sir-alric-farrow-back.png,      agents,      d2e,   base game,             act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-sir alric farrow,     xxxxx,    8
bg-splig-front.png,                agents,      d2e,   base game,             act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-splig,                xxxxx,    8
bg-splig-back.png,                 agents,      d2e,   base game,             act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-splig,                xxxxx,    8
bg-baron-zachareth-front.png,      agents,      d2e,   base game,             act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-baron zachareth,      xxxxx,    8
bg-baron-zachareth-back.png,       agents,      d2e,   base game,             act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-baron zachareth,      xxxxx,    8
bg-belthir-front.png,              agents,      d2e,   base game,             act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-belthir,              xxxxx,    8
bg-belthir-back.png,               agents,      d2e,   base game,             act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-belthir,              xxxxx,    8
bg-lady-eliza-farrow-front.png,    agents,      d2e,   base game,             act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-lady eliza farrow,    xxxxx,    8
bg-lady-eliza-farrow-back.png,     agents,      d2e,   base game,             act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-lady eliza farrow,    xxxxx,    8
bg-lord-merick-farrow-front.png,   agents,      d2e,   base game,             act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-lord merick farrow,   xxxxx,    8
bg-lord-merick-farrow-back.png,    agents,      d2e,   base game,             act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-lord merick farrow,   xxxxx,    8
bg-sir-alric-farrow-front.png,     agents,      d2e,   base game,             act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-sir alric farrow,     xxxxx,    8
bg-sir-alric-farrow-back.png,      agents,      d2e,   base game,             act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-sir alric farrow,     xxxxx,    8
bg-splig-front.png,                agents,      d2e,   base game,             act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-splig,                xxxxx,    8
bg-splig-back.png,                 agents,      d2e,   base game,             act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-splig,                xxxxx,    8
lr-ariad-front.png,                agents,      d2e,   labyrinth of ruin,     act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-ariad,                xxxxx,    8
lr-ariad-back.png,                 agents,      d2e,   labyrinth of ruin,     act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-ariad,                xxxxx,    8
lr-queen-ariad-front.png,          agents,      d2e,   labyrinth of ruin,     act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-queen ariad,          xxxxx,    8
lr-queen-ariad-back.png,           agents,      d2e,   labyrinth of ruin,     act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-queen ariad,          xxxxx,    8
lr-raythen-front.png,              agents,      d2e,   labyrinth of ruin,     act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-raythen,              xxxxx,    8
lr-raythen-back.png,               agents,      d2e,   labyrinth of ruin,     act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-raythen,              xxxxx,    8
lr-serena-front.png,               agents,      d2e,   labyrinth of ruin,     act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-serena,               xxxxx,    8
lr-serena-back.png,                agents,      d2e,   labyrinth of ruin,     act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-serena,               xxxxx,    8
lr-ariad-front.png,                agents,      d2e,   labyrinth of ruin,     act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-ariad,                xxxxx,    8
lr-ariad-back.png,                 agents,      d2e,   labyrinth of ruin,     act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-ariad,                xxxxx,    8
lr-queen-ariad-front.png,          agents,      d2e,   labyrinth of ruin,     act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-queen ariad,          xxxxx,    8
lr-queen-ariad-back.png,           agents,      d2e,   labyrinth of ruin,     act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-queen ariad,          xxxxx,    8
lr-raythen-front.png,              agents,      d2e,   labyrinth of ruin,     act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-raythen,              xxxxx,    8
lr-raythen-back.png,               agents,      d2e,   labyrinth of ruin,     act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-raythen,              xxxxx,    8
lr-serena-front.png,               agents,      d2e,   labyrinth of ruin,     act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a-serena,               xxxxx,    8
