# Image Name                         Asset Name     Game    Expansion              AST1        AST2               AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description               Asset #   Printflag
bg-iron-mace.png,                    class-items,   d2e,    base game,             healers,    disciple,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   iron mace,                xxxxx,    8
bg-iron-mace-back.png,               class-items,   d2e,    base game,             healers,    disciple,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   iron mace,                xxxxx,    8
bg-wooden-shield.png,                class-items,   d2e,    base game,             healers,    disciple,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   wooden shield,            xxxxx,    8
bg-wooden-shield-back.png,           class-items,   d2e,    base game,             healers,    disciple,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   wooden shield,            xxxxx,    8
bg-oak-staff.png,                    class-items,   d2e,    base game,             healers,    spiritspeaker,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   oak staff,                xxxxx,    8
bg-oak-staff-back.png,               class-items,   d2e,    base game,             healers,    spiritspeaker,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   oak staff,                xxxxx,    8
bg-reapers-scythe.png,               class-items,   d2e,    base game,             mages,      necromancer,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   reaper's scythe,          xxxxx,    8
bg-reapers-scythe-back.png,          class-items,   d2e,    base game,             mages,      necromancer,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   reaper's scythe,          xxxxx,    8
bg-arcane-bolt.png,                  class-items,   d2e,    base game,             mages,      runemaster,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   arcane bolt,              xxxxx,    8
bg-arcane-bolt-back.png,             class-items,   d2e,    base game,             mages,      runemaster,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   arcane bolt,              xxxxx,    8
bg-lucky-charm.png,                  class-items,   d2e,    base game,             scouts,     thief,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lucky charm,              xxxxx,    8
bg-lucky-charm-back.png,             class-items,   d2e,    base game,             scouts,     thief,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lucky charm,              xxxxx,    8
bg-throwing-knives.png,              class-items,   d2e,    base game,             scouts,     thief,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   throwing knives,          xxxxx,    8
bg-throwing-knives-back.png,         class-items,   d2e,    base game,             scouts,     thief,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   throwing knives,          xxxxx,    8
bg-yew-shortbow.png,                 class-items,   d2e,    base game,             scouts,     wildlander,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   yew shortbow,             xxxxx,    8
bg-yew-shortbow-back.png,            class-items,   d2e,    base game,             scouts,     wildlander,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   yew shortbow,             xxxxx,    8
bg-chipped-greataxe.png,             class-items,   d2e,    base game,             warriors,   berserker,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   chipped greataxe,         xxxxx,    8
bg-chipped-greataxe-back.png,        class-items,   d2e,    base game,             warriors,   berserker,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   chipped greataxe,         xxxxx,    8
bg-iron-longsword.png,               class-items,   d2e,    base game,             warriors,   knight,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   iron longsword,           xxxxx,    8
bg-iron-longsword-back.png,          class-items,   d2e,    base game,             warriors,   knight,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   iron longsword,           xxxxx,    8
bg-wooden-shield.png,                class-items,   d2e,    base game,             warriors,   knight,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   wooden shield,            xxxxx,    8
bg-wooden-shield-back.png,           class-items,   d2e,    base game,             warriors,   knight,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   wooden shield,            xxxxx,    8
lr-smoking-vials.png,                class-items,   d2e,    labyrinth of ruin,     healers,    apothecary,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   smoking vials,            xxxxx,    8
lr-smoking-vials-back.png,           class-items,   d2e,    labyrinth of ruin,     healers,    apothecary,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   smoking vials,            xxxxx,    8
lr-staff-of-the-grave.png,           class-items,   d2e,    labyrinth of ruin,     mages,      hexer,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   staff of the grave,       xxxxx,    8
lr-staff-of-the-grave-back.png,      class-items,   d2e,    labyrinth of ruin,     mages,      hexer,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   staff of the grave,       xxxxx,    8
lr-leather-whip.png,                 class-items,   d2e,    labyrinth of ruin,     scouts,     treasure-hunter,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   leather whip,             xxxxx,    8
lr-leather-whip-back.png,            class-items,   d2e,    labyrinth of ruin,     scouts,     treasure-hunter,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   leather whip,             xxxxx,    8
lr-the-dead-mans-compass.png,        class-items,   d2e,    labyrinth of ruin,     scouts,     treasure-hunter,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the dead man's compass,   xxxxx,    8
lr-the-dead-mans-compass-back.png,   class-items,   d2e,    labyrinth of ruin,     scouts,     treasure-hunter,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the dead man's compass,   xxxxx,    8
lr-hunting-spear.png,                class-items,   d2e,    labyrinth of ruin,     warriors,   beastmaster,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   hunting spear,            xxxxx,    8
lr-hunting-spear-back.png,           class-items,   d2e,    labyrinth of ruin,     warriors,   beastmaster,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   hunting spear,            xxxxx,    8
lr-skinning-knife.png,               class-items,   d2e,    labyrinth of ruin,     warriors,   beastmaster,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   skinning knife,           xxxxx,    8
lr-skinning-knife-back.png,          class-items,   d2e,    labyrinth of ruin,     warriors,   beastmaster,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   skinning knife,           xxxxx,    8
lw-stasis-rune.png,                  class-items,   d2e,    lair of the wyrm,      mages,      geomancer,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   stasis rune,              xxxxx,    8
lw-stasis-rune-back.png,             class-items,   d2e,    lair of the wyrm,      mages,      geomancer,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   stasis rune,              xxxxx,    8
lw-horn-of-courage.png,              class-items,   d2e,    lair of the wyrm,      warriors,   champion,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   horn of courage,          xxxxx,    8
lw-horn-of-courage-back.png,         class-items,   d2e,    lair of the wyrm,      warriors,   champion,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   horn of courage,          xxxxx,    8
lw-worn-greatsword.png,              class-items,   d2e,    lair of the wyrm,      warriors,   champion,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   worn greatsword,          xxxxx,    8
lw-worn-greatsword-back.png,         class-items,   d2e,    lair of the wyrm,      warriors,   champion,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   worn greatsword,          xxxxx,    8
ll-harvester-scythe.png,             class-items,   d2e,    lost legends,          healers,    soul-reaper,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   harvester scythe,         xxxxx,    8
ll-harvester-scythe-back.png,        class-items,   d2e,    lost legends,          healers,    soul-reaper,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   harvester scythe,         xxxxx,    8
ll-mirror-of-souls.png,              class-items,   d2e,    lost legends,          healers,    soul-reaper,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   mirror of souls,          xxxxx,    8
ll-mirror-of-souls-back.png,         class-items,   d2e,    lost legends,          healers,    soul-reaper,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   mirror of souls,          xxxxx,    8
ll-runeshard-cache.png,              class-items,   d2e,    lost legends,          mages,      elementalist,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   runeshard cache,          xxxxx,    8
ll-runeshard-cache-back.png,         class-items,   d2e,    lost legends,          mages,      elementalist,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   runeshard cache,          xxxxx,    8
ll-spire-of-conflux.png,             class-items,   d2e,    lost legends,          mages,      elementalist,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   spire of conflux,         xxxxx,    8
ll-spire-of-conflux-back.png,        class-items,   d2e,    lost legends,          mages,      elementalist,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   spire of conflux,         xxxxx,    8
mr-double-crossbow.png,              class-items,   d2e,    manor of ravens,       scouts,     bounty-hunter,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   double crossbow,          xxxxx,    8
mr-double-crossbow-back.png,         class-items,   d2e,    manor of ravens,       scouts,     bounty-hunter,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   double crossbow,          xxxxx,    8
mr-signet-ring.png,                  class-items,   d2e,    manor of ravens,       warriors,   marshal,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   signet ring,              xxxxx,    8
mr-signet-ring-back.png,             class-items,   d2e,    manor of ravens,       warriors,   marshal,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   signet ring,              xxxxx,    8
mr-war-hammer.png,                   class-items,   d2e,    manor of ravens,       warriors,   marshal,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   war hammer,               xxxxx,    8
mr-war-hammer-back.png,              class-items,   d2e,    manor of ravens,       warriors,   marshal,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   war hammer,               xxxxx,    8
sotp-ceremonial-staff.png,           class-items,   sotp,   sands of the past,     healers,    hierophant,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ceremonial staff,         xxxxx,    8
sotp-ceremonial-staff-back.png,      class-items,   sotp,   sands of the past,     healers,    hierophant,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ceremonial staff,         xxxxx,    8
sotp-sacred-scriptures.png,          class-items,   sotp,   sands of the past,     healers,    hierophant,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   sacred scriptures,        xxxxx,    8
sotp-sacred-scriptures-back.png,     class-items,   sotp,   sands of the past,     healers,    hierophant,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   sacred scriptures,        xxxxx,    8
sotp-minds-eye-turban.png,           class-items,   sotp,   sands of the past,     mages,      psychic,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   mind's eye turban,        xxxxx,    8
sotp-minds-eye-turban-back.png,      class-items,   sotp,   sands of the past,     mages,      psychic,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   mind's eye turban,        xxxxx,    8
sotp-shadow-darts.png,               class-items,   sotp,   sands of the past,     mages,      psychic,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   shadow darts,             xxxxx,    8
sotp-shadow-darts-back.png,          class-items,   sotp,   sands of the past,     mages,      psychic,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   shadow darts,             xxxxx,    8
sn-lute.png,                         class-items,   d2e,    shadow of nerekhall,   healers,    bard,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lute,                     xxxxx,    8
sn-lute-back.png,                    class-items,   d2e,    shadow of nerekhall,   healers,    bard,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lute,                     xxxxx,    8
sn-travelers-blade.png,              class-items,   d2e,    shadow of nerekhall,   healers,    bard,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   traveler's blade,         xxxxx,    8
sn-travelers-blade-back.png,         class-items,   d2e,    shadow of nerekhall,   healers,    bard,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   traveler's blade,         xxxxx,    8
sn-prismatic-staff.png,              class-items,   d2e,    shadow of nerekhall,   mages,      conjurer,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   prismatic staff,          xxxxx,    8
sn-prismatic-staff-back.png,         class-items,   d2e,    shadow of nerekhall,   mages,      conjurer,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   prismatic staff,          xxxxx,    8
sn-feathered-hatchet.png,            class-items,   d2e,    shadow of nerekhall,   scouts,     shadow-walker,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   feathered hatchet,        xxxxx,    8
sn-feathered-hatchet-back.png,       class-items,   d2e,    shadow of nerekhall,   scouts,     shadow-walker,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   feathered hatchet,        xxxxx,    8
