# Image Name                       Asset Name      Game    Expansion              AST1        AST2               AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description             Asset #   Printflag
bg-armor-of-faith.png,             class-skills,   d2e,    base game,             healers,    disciple,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   armor of faith,         xxxxx,    8
bg-blessed-strike.png,             class-skills,   d2e,    base game,             healers,    disciple,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   blessed strike,         xxxxx,    8
bg-cleansing-touch.png,            class-skills,   d2e,    base game,             healers,    disciple,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   cleansing touch,        xxxxx,    8
bg-disciple-back.png,              class-skills,   d2e,    base game,             healers,    disciple,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   disciple-back,          xxxxx,    8
bg-divine-fury.png,                class-skills,   d2e,    base game,             healers,    disciple,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   divine fury,            xxxxx,    8
bg-holy-power.png,                 class-skills,   d2e,    base game,             healers,    disciple,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   holy power,             xxxxx,    8
bg-prayer-of-healing.png,          class-skills,   d2e,    base game,             healers,    disciple,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   prayer of healing,      xxxxx,    8
bg-prayer-of-peace.png,            class-skills,   d2e,    base game,             healers,    disciple,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   prayer of peace,        xxxxx,    8
bg-radiant-light.png,              class-skills,   d2e,    base game,             healers,    disciple,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   radiant light,          xxxxx,    8
bg-time-of-need.png,               class-skills,   d2e,    base game,             healers,    disciple,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   time of need,           xxxxx,    8
bg-ancestor-spirits.png,           class-skills,   d2e,    base game,             healers,    spiritspeaker,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ancestor spirits,       xxxxx,    8
bg-ancestor-spirits-errata.png,    class-skills,   d2e,    base game,             healers,    spiritspeaker,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ancestor spirits,       xxxxx,    8
bg-cloud-of-mist.png,              class-skills,   d2e,    base game,             healers,    spiritspeaker,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   cloud of mist,          xxxxx,    8
bg-drain-spirit.png,               class-skills,   d2e,    base game,             healers,    spiritspeaker,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   drain spirit,           xxxxx,    8
bg-healing-rain.png,               class-skills,   d2e,    base game,             healers,    spiritspeaker,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   healing rain,           xxxxx,    8
bg-natures-bounty.png,             class-skills,   d2e,    base game,             healers,    spiritspeaker,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   nature's bounty,        xxxxx,    8
bg-shared-pain.png,                class-skills,   d2e,    base game,             healers,    spiritspeaker,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   shared pain,            xxxxx,    8
bg-spiritspeaker-back.png,         class-skills,   d2e,    base game,             healers,    spiritspeaker,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   spiritspeaker-back,     xxxxx,    8
bg-stoneskin.png,                  class-skills,   d2e,    base game,             healers,    spiritspeaker,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   stoneskin,              xxxxx,    8
bg-tempest.png,                    class-skills,   d2e,    base game,             healers,    spiritspeaker,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   tempest,                xxxxx,    8
bg-vigor.png,                      class-skills,   d2e,    base game,             healers,    spiritspeaker,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   vigor,                  xxxxx,    8
bg-army-of-death.png,              class-skills,   d2e,    base game,             mages,      necromancer,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   army of death,          xxxxx,    8
bg-corpse-blast.png,               class-skills,   d2e,    base game,             mages,      necromancer,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   corpse blast,           xxxxx,    8
bg-dark-pact.png,                  class-skills,   d2e,    base game,             mages,      necromancer,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   dark pact,              xxxxx,    8
bg-deathly-haste.png,              class-skills,   d2e,    base game,             mages,      necromancer,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   deathly haste,          xxxxx,    8
bg-dying-command.png,              class-skills,   d2e,    base game,             mages,      necromancer,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   dying command,          xxxxx,    8
bg-dying-command-errata.png,       class-skills,   d2e,    base game,             mages,      necromancer,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   dying command,          xxxxx,    8
bg-fury-of-undeath.png,            class-skills,   d2e,    base game,             mages,      necromancer,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   fury of undeath,        xxxxx,    8
bg-necromancer-back.png,           class-skills,   d2e,    base game,             mages,      necromancer,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   necromancer-back,       xxxxx,    8
bg-raise-dead-errata.png,          class-skills,   d2e,    base game,             mages,      necromancer,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   raise dead,             xxxxx,    8
bg-raise-dead.png,                 class-skills,   d2e,    base game,             mages,      necromancer,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   raise dead,             xxxxx,    8
bg-undead-might.png,               class-skills,   d2e,    base game,             mages,      necromancer,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   undead might,           xxxxx,    8
bg-vampiric-blood.png,             class-skills,   d2e,    base game,             mages,      necromancer,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   vampiric blood,         xxxxx,    8
bg-break-the-rune.png,             class-skills,   d2e,    base game,             mages,      runemaster,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   break the rune,         xxxxx,    8
bg-break-the-rune-errata.png,      class-skills,   d2e,    base game,             mages,      runemaster,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   break the rune,         xxxxx,    8
bg-exploding-rune.png,             class-skills,   d2e,    base game,             mages,      runemaster,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   exploding rune,         xxxxx,    8
bg-ghost-armor.png,                class-skills,   d2e,    base game,             mages,      runemaster,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ghost armor,            xxxxx,    8
bg-inscribe-rune.png,              class-skills,   d2e,    base game,             mages,      runemaster,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   inscribe rune,          xxxxx,    8
bg-iron-will.png,                  class-skills,   d2e,    base game,             mages,      runemaster,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   iron will,              xxxxx,    8
bg-quick-casting.png,              class-skills,   d2e,    base game,             mages,      runemaster,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   quick casting,          xxxxx,    8
bg-rune-mastery.png,               class-skills,   d2e,    base game,             mages,      runemaster,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rune mastery,           xxxxx,    8
bg-runemaster-back.png,            class-skills,   d2e,    base game,             mages,      runemaster,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   runemaster-back,        xxxxx,    8
bg-runic-knowledge.png,            class-skills,   d2e,    base game,             mages,      runemaster,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   runic knowledge,        xxxxx,    8
bg-runic-sorcery.png,              class-skills,   d2e,    base game,             mages,      runemaster,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   runic sorcery,          xxxxx,    8
bg-appraisal.png,                  class-skills,   d2e,    base game,             scouts,     thief,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   appraisal,              xxxxx,    8
bg-bushwhack.png,                  class-skills,   d2e,    base game,             scouts,     thief,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bushwhack,              xxxxx,    8
bg-caltrops.png,                   class-skills,   d2e,    base game,             scouts,     thief,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   caltrops,               xxxxx,    8
bg-dirty-tricks.png,               class-skills,   d2e,    base game,             scouts,     thief,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   dirty tricks,           xxxxx,    8
bg-greedy.png,                     class-skills,   d2e,    base game,             scouts,     thief,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   greedy,                 xxxxx,    8
bg-lurk.png,                       class-skills,   d2e,    base game,             scouts,     thief,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lurk,                   xxxxx,    8
bg-sneaky.png,                     class-skills,   d2e,    base game,             scouts,     thief,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   sneaky,                 xxxxx,    8
bg-thief-back.png,                 class-skills,   d2e,    base game,             scouts,     thief,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   thief-back,             xxxxx,    8
bg-tumble.png,                     class-skills,   d2e,    base game,             scouts,     thief,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   tumble,                 xxxxx,    8
bg-unseen.png,                     class-skills,   d2e,    base game,             scouts,     thief,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   unseen,                 xxxxx,    8
bg-accurate.png,                   class-skills,   d2e,    base game,             scouts,     wildlander,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   accurate,               xxxxx,    8
bg-black-arrow.png,                class-skills,   d2e,    base game,             scouts,     wildlander,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   black arrow,            xxxxx,    8
bg-bow-mastery.png,                class-skills,   d2e,    base game,             scouts,     wildlander,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bow mastery,            xxxxx,    8
bg-danger-sense.png,               class-skills,   d2e,    base game,             scouts,     wildlander,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   danger sense,           xxxxx,    8
bg-eagle-eyes.png,                 class-skills,   d2e,    base game,             scouts,     wildlander,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   eagle eyes,             xxxxx,    8
bg-first-strike.png,               class-skills,   d2e,    base game,             scouts,     wildlander,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   first strike,           xxxxx,    8
bg-fleet-of-foot.png,              class-skills,   d2e,    base game,             scouts,     wildlander,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   fleet of foot,          xxxxx,    8
bg-nimble.png,                     class-skills,   d2e,    base game,             scouts,     wildlander,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   nimble,                 xxxxx,    8
bg-running-shot.png,               class-skills,   d2e,    base game,             scouts,     wildlander,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   running shot,           xxxxx,    8
bg-running-shot-errata.png,        class-skills,   d2e,    base game,             scouts,     wildlander,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   running shot,           xxxxx,    8
bg-wildlander-back.png,            class-skills,   d2e,    base game,             scouts,     wildlander,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   wildlander-back,        xxxxx,    8
bg-berserker-back.png,             class-skills,   d2e,    base game,             warriors,   berserker,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   berserker-back,         xxxxx,    8
bg-brute.png,                      class-skills,   d2e,    base game,             warriors,   berserker,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   brute,                  xxxxx,    8
bg-charge.png,                     class-skills,   d2e,    base game,             warriors,   berserker,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   charge,                 xxxxx,    8
bg-counter-attack.png,             class-skills,   d2e,    base game,             warriors,   berserker,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   counter attack,         xxxxx,    8
bg-cripple.png,                    class-skills,   d2e,    base game,             warriors,   berserker,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   cripple,                xxxxx,    8
bg-death-rage.png,                 class-skills,   d2e,    base game,             warriors,   berserker,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   death rage,             xxxxx,    8
bg-execute.png,                    class-skills,   d2e,    base game,             warriors,   berserker,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   execute,                xxxxx,    8
bg-rage.png,                       class-skills,   d2e,    base game,             warriors,   berserker,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rage,                   xxxxx,    8
bg-weapon-mastery.png,             class-skills,   d2e,    base game,             warriors,   berserker,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   weapon mastery,         xxxxx,    8
bg-whirlwind.png,                  class-skills,   d2e,    base game,             warriors,   berserker,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   whirlwind,              xxxxx,    8
bg-advance.png,                    class-skills,   d2e,    base game,             warriors,   knight,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   advance,                xxxxx,    8
bg-challenge.png,                  class-skills,   d2e,    base game,             warriors,   knight,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   challenge,              xxxxx,    8
