# Image Name                             Asset Name    Game    Expansion             AST1    AST2     AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description                 Asset #   Printflag
book-heirs-of-blood.png,                 expansions,   d2e,    base game,            book,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   heirs of blood,             xxxxx,    8
coop-dark-elements.png,                  expansions,   d2e,    base game,            coop,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   dark elements,              xxxxx,    8
coop-forgotten-souls.png,                expansions,   d2e,    base game,            coop,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   forgotten souls,            xxxxx,    8
coop-natures-ire.png,                    expansions,   d2e,    base game,            coop,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   nature's ire,               xxxxx,    8
exp-base-game.png,                       expansions,   d2e,    base game,            exp,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   base game,                  xxxxx,    8
exp-conversion-kit.png,                  expansions,   d2e,    base game,            exp,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   conversion kit,             xxxxx,    8
exp-dice-pack.png,                       expansions,   d2e,    base game,            exp,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   dice pack,                  xxxxx,    8
exp-labyrinth-of-ruin.png,               expansions,   d2e,    base game,            exp,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   labyrinth of ruin,          xxxxx,    8
exp-lair-of-the-wyrm.png,                expansions,   d2e,    base game,            exp,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lair of the wyrm,           xxxxx,    8
exp-lost-legends.png,                    expansions,   d2e,    base game,            exp,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lost legends,               xxxxx,    8
exp-manor-of-ravens.png,                 expansions,   d2e,    base game,            exp,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   manor of ravens,            xxxxx,    8
exp-mists-of-bilehall.png,               expansions,   d2e,    base game,            exp,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   mists of bilehall,          xxxxx,    8
