# Image Name                           Asset Name      Game   Expansion          AST1     AST2     AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description                          Asset #   Printflag
de-ec-0-last-breath.png,               explorations,   d2e,   dark elements,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   last breath,                         xxxxx,    8
de-ec-1-square-one.png,                explorations,   d2e,   dark elements,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   square one,                          xxxxx,    8
de-ec-2-nightmare-gate.png,            explorations,   d2e,   dark elements,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   nightmare gate,                      xxxxx,    8
de-ec-3-limbos-end.png,                explorations,   d2e,   dark elements,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   limbo's end,                         xxxxx,    8
de-ec-4-breached-ice.png,              explorations,   d2e,   dark elements,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   breached ice,                        xxxxx,    8
de-ec-5-breath-of-stone.png,           explorations,   d2e,   dark elements,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   breath of stone,                     xxxxx,    8
de-ec-6-glimmerlack-hall.png,          explorations,   d2e,   dark elements,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   glimmerlack hall,                    xxxxx,    8
de-ec-7-incinerator.png,               explorations,   d2e,   dark elements,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   incinerator,                         xxxxx,    8
de-ec-8-passage-of-the-future.png,     explorations,   d2e,   dark elements,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   passage of the future,               xxxxx,    8
de-ec-9-passage-of-the-past.png,       explorations,   d2e,   dark elements,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   passage of the past,                 xxxxx,    8
de-ec-10-passage-of-the-present.png,   explorations,   d2e,   dark elements,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   passage of the present,              xxxxx,    8
de-ec-11-stones-of-the-founders.png,   explorations,   d2e,   dark elements,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   stones of the founders,              xxxxx,    8
de-ec-back.png,                        explorations,   d2e,   dark elements,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   dark-elements-explorations-back,     xxxxx,    8
fs-ec-0-the-onset.png,                 explorations,   d2e,   forgotten souls,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the onset,                           xxxxx,    8
fs-ec-1-room-of-souls.png,             explorations,   d2e,   forgotten souls,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   room of souls,                       xxxxx,    8
fs-ec-2-the-lava-tomb.png,             explorations,   d2e,   forgotten souls,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the lava tomb,                       xxxxx,    8
fs-ec-3-throne-of-the-fallen.png,      explorations,   d2e,   forgotten souls,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   throne of the fallen,                xxxxx,    8
fs-ec-4-deadly-kennel.png,             explorations,   d2e,   forgotten souls,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   deadly kennel,                       xxxxx,    8
fs-ec-5-fog-filled-passage.png,        explorations,   d2e,   forgotten souls,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   fog-filled passage,                  xxxxx,    8
fs-ec-6-hall-of-riddles.png,           explorations,   d2e,   forgotten souls,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   hall of riddles,                     xxxxx,    8
fs-ec-7-lengthy-sewers.png,            explorations,   d2e,   forgotten souls,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lengthy sewers,                      xxxxx,    8
fs-ec-8-shiny-corridor.png,            explorations,   d2e,   forgotten souls,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   shiny corridor,                      xxxxx,    8
fs-ec-9-trash-heap.png,                explorations,   d2e,   forgotten souls,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   trash heap,                          xxxxx,    8
fs-ec-10-treasure-vault.png,           explorations,   d2e,   forgotten souls,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   treasure vault,                      xxxxx,    8
fs-ec-11-tunnels-end.png,              explorations,   d2e,   forgotten souls,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   tunnel's end,                        xxxxx,    8
fs-ec-back.png,                        explorations,   d2e,   forgotten souls,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   forgotten-souls-explorations-back,   xxxxx,    8
ni-ec-0-beyond-the-fringes.png,        explorations,   d2e,   nature's ire,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   beyond the fringes,                  xxxxx,    8
ni-ec-1-consuming-falls.png,           explorations,   d2e,   nature's ire,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   consuming falls,                     xxxxx,    8
ni-ec-2-choke-point.png,               explorations,   d2e,   nature's ire,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   choke point,                         xxxxx,    8
ni-ec-3-cabin-of-the-lost.png,         explorations,   d2e,   nature's ire,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   cabin of the lost,                   xxxxx,    8
ni-ec-4-abandoned-campsite.png,        explorations,   d2e,   nature's ire,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   abandoned campsite,                  xxxxx,    8
ni-ec-5-blocked-gully.png,             explorations,   d2e,   nature's ire,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   blocked gully,                       xxxxx,    8
