# Image Name                              Asset Name   Game    Expansion                   AST1        AST2     AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description                   Asset #   Printflag
bg-ashrian.png,                           heroes,      d2e,    base game,                  healers,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ashrian,                      xxxxx,    8
bg-ashrian-back.png,                      heroes,      d2e,    base game,                  healers,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ashrian,                      xxxxx,    8
bg-avric-albright.png,                    heroes,      d2e,    base game,                  healers,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   avric albright,               xxxxx,    8
bg-avric-albright-back.png,               heroes,      d2e,    base game,                  healers,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   avric albright,               xxxxx,    8
bg-leoric-of-the-book.png,                heroes,      d2e,    base game,                  mages,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   leoric of the book,           xxxxx,    8
bg-leoric-of-the-book-back.png,           heroes,      d2e,    base game,                  mages,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   leoric of the book,           xxxxx,    8
bg-widow-tarha.png,                       heroes,      d2e,    base game,                  mages,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   widow tarha,                  xxxxx,    8
bg-widow-tarha-back.png,                  heroes,      d2e,    base game,                  mages,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   widow tarha,                  xxxxx,    8
bg-jain-fairwood.png,                     heroes,      d2e,    base game,                  scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   jain fairwood,                xxxxx,    8
bg-jain-fairwood-back.png,                heroes,      d2e,    base game,                  scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   jain fairwood,                xxxxx,    8
bg-tomble-burrowell.png,                  heroes,      d2e,    base game,                  scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   tomble burrowell,             xxxxx,    8
bg-tomble-burrowell-back.png,             heroes,      d2e,    base game,                  scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   tomble burrowell,             xxxxx,    8
bg-grisban-the-thirsty.png,               heroes,      d2e,    base game,                  warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   grisban the thirsty,          xxxxx,    8
bg-grisban-the-thirsty-back.png,          heroes,      d2e,    base game,                  warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   grisban the thirsty,          xxxxx,    8
bg-grisban-the-thirsty-errata.png,        heroes,      d2e,    base game,                  warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   grisban the thirsty errata,   xxxxx,    8
