# Image Name                      Asset Name             Game   Expansion               AST1        AST2           AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description                Asset #   Printflag
ll-chosen-of-kellos.png,          hybrid-class-skills,   d2e,   lost legends,           healers,    crusader,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   chosen of kellos,          xxxxx,    8
ll-crusader-back.png,             hybrid-class-skills,   d2e,   lost legends,           healers,    crusader,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   crusader-back,             xxxxx,    8
ll-divine-light.png,              hybrid-class-skills,   d2e,   lost legends,           healers,    crusader,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   divine light,              xxxxx,    8
ll-righteous.png,                 hybrid-class-skills,   d2e,   lost legends,           healers,    crusader,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   righteous,                 xxxxx,    8
ll-zealous-aura.png,              hybrid-class-skills,   d2e,   lost legends,           healers,    crusader,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   zealous aura,              xxxxx,    8
ll-arcane-healing.png,            hybrid-class-skills,   d2e,   lost legends,           healers,    heretic,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   arcane healing,            xxxxx,    8
ll-dark-recovery.png,             hybrid-class-skills,   d2e,   lost legends,           healers,    heretic,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   dark recovery,             xxxxx,    8
ll-exiled-visionary.png,          hybrid-class-skills,   d2e,   lost legends,           healers,    heretic,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   exiled visionary,          xxxxx,    8
ll-forbidden-arts.png,            hybrid-class-skills,   d2e,   lost legends,           healers,    heretic,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   forbidden arts,            xxxxx,    8
ll-heretic-back.png,              hybrid-class-skills,   d2e,   lost legends,           healers,    heretic,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   heretic-back,              xxxxx,    8
ll-all-knowing.png,               hybrid-class-skills,   d2e,   lost legends,           mages,      lorekeeper,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   all-knowing,               xxxxx,    8
ll-all-knowing-errata.png,        hybrid-class-skills,   d2e,   lost legends,           mages,      lorekeeper,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   all-knowing errata,        xxxxx,    8
ll-ancient-remedy.png,            hybrid-class-skills,   d2e,   lost legends,           mages,      lorekeeper,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ancient remedy,            xxxxx,    8
ll-ancient-remedy-errata.png,     hybrid-class-skills,   d2e,   lost legends,           mages,      lorekeeper,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ancient remedy errata,     xxxxx,    8
ll-careful-balance.png,           hybrid-class-skills,   d2e,   lost legends,           mages,      lorekeeper,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   careful balance,           xxxxx,    8
ll-interdisciplinary.png,         hybrid-class-skills,   d2e,   lost legends,           mages,      lorekeeper,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   interdisciplinary,         xxxxx,    8
ll-lorekeeper-back.png,           hybrid-class-skills,   d2e,   lost legends,           mages,      lorekeeper,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lorekeeper-back,           xxxxx,    8
ll-clairvoyance.png,              hybrid-class-skills,   d2e,   lost legends,           mages,      truthseer,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   clairvoyance,              xxxxx,    8
ll-premonition.png,               hybrid-class-skills,   d2e,   lost legends,           mages,      truthseer,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   premonition,               xxxxx,    8
ll-translocation.png,             hybrid-class-skills,   d2e,   lost legends,           mages,      truthseer,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   translocation,             xxxxx,    8
ll-true-sight.png,                hybrid-class-skills,   d2e,   lost legends,           mages,      truthseer,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   true sight,                xxxxx,    8
ll-truthseer-back.png,            hybrid-class-skills,   d2e,   lost legends,           mages,      truthseer,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   truthseer-back,            xxxxx,    8
ll-battle-hardened.png,           hybrid-class-skills,   d2e,   lost legends,           scouts,     ravager,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   battle-hardened,           xxxxx,    8
ll-charging-assault.png,          hybrid-class-skills,   d2e,   lost legends,           scouts,     ravager,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   charging assault,          xxxxx,    8
ll-charging-assault-errata.png,   hybrid-class-skills,   d2e,   lost legends,           scouts,     ravager,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   charging assault errata,   xxxxx,    8
ll-momentum.png,                  hybrid-class-skills,   d2e,   lost legends,           scouts,     ravager,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   momentum,                  xxxxx,    8
ll-momentum-errata.png,           hybrid-class-skills,   d2e,   lost legends,           scouts,     ravager,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   momentum errata,           xxxxx,    8
ll-ravager-back.png,              hybrid-class-skills,   d2e,   lost legends,           scouts,     ravager,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ravager-back,              xxxxx,    8
ll-vicious-throw.png,             hybrid-class-skills,   d2e,   lost legends,           scouts,     ravager,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   vicious throw,             xxxxx,    8
ll-arcane-fusion.png,             hybrid-class-skills,   d2e,   lost legends,           scouts,     trickster,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   arcane fusion,             xxxxx,    8
ll-now-you-see-me.png,            hybrid-class-skills,   d2e,   lost legends,           scouts,     trickster,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   now you see me,            xxxxx,    8
ll-private-collection.png,        hybrid-class-skills,   d2e,   lost legends,           scouts,     trickster,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   private collection,        xxxxx,    8
ll-razzle-dazzle.png,             hybrid-class-skills,   d2e,   lost legends,           scouts,     trickster,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   razzle-dazzle,             xxxxx,    8
ll-trickster-back.png,            hybrid-class-skills,   d2e,   lost legends,           scouts,     trickster,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   trickster-back,            xxxxx,    8
ll-avenger-back.png,              hybrid-class-skills,   d2e,   lost legends,           warriors,   avenger,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   avenger-back,              xxxxx,    8
ll-death-from-above.png,          hybrid-class-skills,   d2e,   lost legends,           warriors,   avenger,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   death from above,          xxxxx,    8
ll-holy-champion.png,             hybrid-class-skills,   d2e,   lost legends,           warriors,   avenger,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   holy champion,             xxxxx,    8
ll-justicar.png,                  hybrid-class-skills,   d2e,   lost legends,           warriors,   avenger,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   justicar,                  xxxxx,    8
ll-vengeful-smite.png,            hybrid-class-skills,   d2e,   lost legends,           warriors,   avenger,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   vengeful smite,            xxxxx,    8
ll-close-the-gap.png,             hybrid-class-skills,   d2e,   lost legends,           warriors,   raider,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   close the gap,             xxxxx,    8
ll-divide-the-spoils.png,         hybrid-class-skills,   d2e,   lost legends,           warriors,   raider,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   divide the spoils,         xxxxx,    8
ll-into-the-fray.png,             hybrid-class-skills,   d2e,   lost legends,           warriors,   raider,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   into the fray,             xxxxx,    8
