# Image Name                       Asset Name     Game   Expansion               AST1    AST2     AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description           Asset #   Printflag
bg-baron-zachareth-front.png,      lieutenants,   d2e,   base game,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   baron zachareth,      xxxxx,    8
bg-baron-zachareth-back.png,       lieutenants,   d2e,   base game,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   baron zachareth,      xxxxx,    8
bg-belthir-front.png,              lieutenants,   d2e,   base game,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   belthir,              xxxxx,    8
bg-belthir-back.png,               lieutenants,   d2e,   base game,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   belthir,              xxxxx,    8
bg-lady-eliza-farrow-front.png,    lieutenants,   d2e,   base game,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lady eliza farrow,    xxxxx,    8
bg-lady-eliza-farrow-back.png,     lieutenants,   d2e,   base game,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lady eliza farrow,    xxxxx,    8
bg-lord-merick-farrow-front.png,   lieutenants,   d2e,   base game,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lord merick farrow,   xxxxx,    8
bg-lord-merick-farrow-back.png,    lieutenants,   d2e,   base game,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lord merick farrow,   xxxxx,    8
bg-sir-alric-farrow-front.png,     lieutenants,   d2e,   base game,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   sir alric farrow,     xxxxx,    8
bg-sir-alric-farrow-back.png,      lieutenants,   d2e,   base game,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   sir alric farrow,     xxxxx,    8
bg-splig-front.png,                lieutenants,   d2e,   base game,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   splig,                xxxxx,    8
bg-splig-back.png,                 lieutenants,   d2e,   base game,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   splig,                xxxxx,    8
bg-baron-zachareth-front.png,      lieutenants,   d2e,   base game,              act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   baron zachareth,      xxxxx,    8
bg-baron-zachareth-back.png,       lieutenants,   d2e,   base game,              act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   baron zachareth,      xxxxx,    8
bg-belthir-front.png,              lieutenants,   d2e,   base game,              act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   belthir,              xxxxx,    8
bg-belthir-back.png,               lieutenants,   d2e,   base game,              act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   belthir,              xxxxx,    8
bg-lady-eliza-farrow-front.png,    lieutenants,   d2e,   base game,              act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lady eliza farrow,    xxxxx,    8
