# Image Name                        Asset Name   Game   Expansion               AST1     AST2     AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description   Asset #   Printflag
bg-01a.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   01a,          xxxxx,    1
bg-01b.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   01b,          xxxxx,    1
bg-02a.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   02a,          xxxxx,    1
bg-02b.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   02b,          xxxxx,    1
bg-03a.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   03a,          xxxxx,    1
bg-03b.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   03b,          xxxxx,    1
bg-04a.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   04a,          xxxxx,    1
bg-04b.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   04b,          xxxxx,    1
bg-05a.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   05a,          xxxxx,    1
bg-05b.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   05b,          xxxxx,    1
bg-06a.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   06a,          xxxxx,    1
bg-06b.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   06b,          xxxxx,    1
bg-07a.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   07a,          xxxxx,    1
bg-07b.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   07b,          xxxxx,    1
bg-08a.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   08a,          xxxxx,    1
bg-08b.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   08b,          xxxxx,    1
bg-09a.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   09a,          xxxxx,    1
bg-09b.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   09b,          xxxxx,    1
bg-10a.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   10a,          xxxxx,    1
bg-10b.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   10b,          xxxxx,    1
bg-11a.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   11a,          xxxxx,    1
bg-11b.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   11b,          xxxxx,    1
bg-12a.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   12a,          xxxxx,    1
bg-12b.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   12b,          xxxxx,    1
