# Image Name                             Asset Name             Game    Expansion            AST1     AST2     AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description                        Asset #   Printflag
de-mac-1-of-10.png,                      monster-activations,   d2e,    dark elements,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   de monster activation 1 of 10,     xxxxx,    8
de-mac-2-of-10.png,                      monster-activations,   d2e,    dark elements,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   de monster activation 2 of 10,     xxxxx,    8
de-mac-3-of-10.png,                      monster-activations,   d2e,    dark elements,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   de monster activation 3 of 10,     xxxxx,    8
de-mac-4-of-10.png,                      monster-activations,   d2e,    dark elements,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   de monster activation 4 of 10,     xxxxx,    8
de-mac-5-of-10.png,                      monster-activations,   d2e,    dark elements,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   de monster activation 5 of 10,     xxxxx,    8
de-mac-6-of-10.png,                      monster-activations,   d2e,    dark elements,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   de monster activation 6 of 10,     xxxxx,    8
de-mac-7-of-10.png,                      monster-activations,   d2e,    dark elements,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   de monster activation 7 of 10,     xxxxx,    8
de-mac-8-of-10.png,                      monster-activations,   d2e,    dark elements,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   de monster activation 8 of 10,     xxxxx,    8
de-mac-9-of-10.png,                      monster-activations,   d2e,    dark elements,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   de monster activation 9 of 10,     xxxxx,    8
de-mac-10-of-10.png,                     monster-activations,   d2e,    dark elements,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   de monster activation 10 of 10,    xxxxx,    8
de-mac-back.png,                         monster-activations,   d2e,    dark elements,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   de-monster-activation-back,        xxxxx,    8
fs-mac-1-of-10.png,                      monster-activations,   d2e,    forgotten souls,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   fs monster activation 1 of 10,     xxxxx,    8
fs-mac-2-of-10.png,                      monster-activations,   d2e,    forgotten souls,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   fs monster activation 2 of 10,     xxxxx,    8
fs-mac-3-of-10.png,                      monster-activations,   d2e,    forgotten souls,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   fs monster activation 3 of 10,     xxxxx,    8
fs-mac-4-of-10.png,                      monster-activations,   d2e,    forgotten souls,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   fs monster activation 4 of 10,     xxxxx,    8
fs-mac-5-of-10.png,                      monster-activations,   d2e,    forgotten souls,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   fs monster activation 5 of 10,     xxxxx,    8
fs-mac-6-of-10.png,                      monster-activations,   d2e,    forgotten souls,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   fs monster activation 6 of 10,     xxxxx,    8
fs-mac-7-of-10.png,                      monster-activations,   d2e,    forgotten souls,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   fs monster activation 7 of 10,     xxxxx,    8
fs-mac-8-of-10.png,                      monster-activations,   d2e,    forgotten souls,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   fs monster activation 8 of 10,     xxxxx,    8
