# Image Name                        Asset Name   Game    Expansion                 AST1    AST2     AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description           Asset #   Printflag
bg-barghest-front.png,              monsters,    d2e,    base game,                act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   barghest,             xxxxx,    8
bg-barghest-back.png,               monsters,    d2e,    base game,                act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   barghest,             xxxxx,    8
bg-cave-spider-front.png,           monsters,    d2e,    base game,                act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   cave spider,          xxxxx,    8
bg-cave-spider-back.png,            monsters,    d2e,    base game,                act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   cave spider,          xxxxx,    8
bg-elemental-front.png,             monsters,    d2e,    base game,                act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   elemental,            xxxxx,    8
bg-elemental-back.png,              monsters,    d2e,    base game,                act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   elemental,            xxxxx,    8
bg-ettin-front.png,                 monsters,    d2e,    base game,                act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ettin,                xxxxx,    8
bg-ettin-back.png,                  monsters,    d2e,    base game,                act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ettin,                xxxxx,    8
bg-flesh-moulder-front.png,         monsters,    d2e,    base game,                act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   flesh moulder,        xxxxx,    8
bg-flesh-moulder-back.png,          monsters,    d2e,    base game,                act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   flesh moulder,        xxxxx,    8
bg-goblin-archer-front.png,         monsters,    d2e,    base game,                act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   goblin archer,        xxxxx,    8
bg-goblin-archer-back.png,          monsters,    d2e,    base game,                act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   goblin archer,        xxxxx,    8
bg-merriod-front.png,               monsters,    d2e,    base game,                act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   merriod,              xxxxx,    8
