# Image Name                        Asset Name      Game   Expansion                   AST1               AST2     AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description                Asset #   Printflag
bg-critical-blow.png,             overlord-decks,   d2e,   base game,                  basic,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   critical blow,             xxxxx,    8
bg-dark-charm.png,                overlord-decks,   d2e,   base game,                  basic,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   dark charm,                xxxxx,    8
bg-dark-fortune.png,              overlord-decks,   d2e,   base game,                  basic,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   dark fortune,              xxxxx,    8
bg-dark-might.png,                overlord-decks,   d2e,   base game,                  basic,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   dark might,                xxxxx,    8
bg-dash.png,                      overlord-decks,   d2e,   base game,                  basic,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   dash,                      xxxxx,    8
bg-frenzy.png,                    overlord-decks,   d2e,   base game,                  basic,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   frenzy,                    xxxxx,    8
bg-overlord-decks-back.png,       overlord-decks,   d2e,   base game,                  basic,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   overlord-decks-back,       xxxxx,    8
bg-pit-trap.png,                  overlord-decks,   d2e,   base game,                  basic,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   pit trap,                  xxxxx,    8
bg-poison-dart.png,               overlord-decks,   d2e,   base game,                  basic,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   poison dart,               xxxxx,    8
bg-tripwire.png,                  overlord-decks,   d2e,   base game,                  basic,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   tripwire,                  xxxxx,    8
bg-word-of-misery.png,            overlord-decks,   d2e,   base game,                  basic,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   word of misery,            xxxxx,    8
bg-diabolic-power.png,            overlord-decks,   d2e,   base game,                  magus,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   diabolic power,            xxxxx,    8
bg-overlord-decks-back.png,       overlord-decks,   d2e,   base game,                  magus,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   overlord-decks-back,       xxxxx,    0
bg-rise-again.png,                overlord-decks,   d2e,   base game,                  magus,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rise again,                xxxxx,    8
bg-unholy-ritual.png,             overlord-decks,   d2e,   base game,                  magus,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   unholy ritual,             xxxxx,    8
bg-unholy-ritual-errata.png,      overlord-decks,   d2e,   base game,                  magus,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   unholy ritual errata,      xxxxx,    8
bg-word-of-despair.png,           overlord-decks,   d2e,   base game,                  magus,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   word of despair,           xxxxx,    8
bg-word-of-pain.png,              overlord-decks,   d2e,   base game,                  magus,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   word of pain,              xxxxx,    8
bg-curse-of-the-monkey-god.png,   overlord-decks,   d2e,   base game,                  saboteur,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   curse of the monkey god,   xxxxx,    8
bg-explosive-runes.png,           overlord-decks,   d2e,   base game,                  saboteur,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   explosive runes,           xxxxx,    8
bg-overlord-decks-back.png,       overlord-decks,   d2e,   base game,                  saboteur,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   overlord-decks-back,       xxxxx,    0
bg-uthuk-demon-trap.png,          overlord-decks,   d2e,   base game,                  saboteur,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   uthuk demon trap,          xxxxx,    8
bg-web-trap.png,                  overlord-decks,   d2e,   base game,                  saboteur,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   web trap,                  xxxxx,    8
bg-wicked-laughter.png,           overlord-decks,   d2e,   base game,                  saboteur,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   wicked laughter,           xxxxx,    8
bg-dark-resilience.png,           overlord-decks,   d2e,   base game,                  universal,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   dark resilience,           xxxxx,    8
bg-overlord-decks-back.png,       overlord-decks,   d2e,   base game,                  universal,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   overlord-decks-back,       xxxxx,    0
bg-plan-ahead.png,                overlord-decks,   d2e,   base game,                  universal,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   plan ahead,                xxxxx,    8
bg-schemes.png,                   overlord-decks,   d2e,   base game,                  universal,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   schemes,                   xxxxx,    8
bg-bloodlust.png,                 overlord-decks,   d2e,   base game,                  warlord,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bloodlust,                 xxxxx,    8
bg-bloodlust-errata.png,          overlord-decks,   d2e,   base game,                  warlord,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bloodlust errata,          xxxxx,    8
bg-blood-rage.png,                overlord-decks,   d2e,   base game,                  warlord,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   blood rage,                xxxxx,    8
bg-dark-fortitude.png,            overlord-decks,   d2e,   base game,                  warlord,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   dark fortitude,            xxxxx,    8
bg-expert-blow.png,               overlord-decks,   d2e,   base game,                  warlord,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   expert blow,               xxxxx,    8
bg-overlord-decks-back.png,       overlord-decks,   d2e,   base game,                  warlord,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   overlord-decks-back,       xxxxx,    0
bg-reinforce.png,                 overlord-decks,   d2e,   base game,                  warlord,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   reinforce,                 xxxxx,    8
bg-reinforce-errata.png,          overlord-decks,   d2e,   base game,                  warlord,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   reinforce errata,          xxxxx,    8
