# Image Name                       Asset Name    Game   Expansion              AST1                 AST2     AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description                   Asset #   Printflag
bg-bolt-from-the-blue.png,         plot-decks,   d2e,   base game,             cursed-by-power,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bolt from the blue,           xxxxx,    8
bg-cabal.png,                      plot-decks,   d2e,   base game,             cursed-by-power,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   cabal,                        xxxxx,    8
bg-dark-pact.png,                  plot-decks,   d2e,   base game,             cursed-by-power,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   dark pact,                    xxxxx,    8
bg-greater-power.png,              plot-decks,   d2e,   base game,             cursed-by-power,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   greater power,                xxxxx,    8
bg-masques.png,                    plot-decks,   d2e,   base game,             cursed-by-power,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   masques,                      xxxxx,    8
bg-mystic-might.png,               plot-decks,   d2e,   base game,             cursed-by-power,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   mystic might,                 xxxxx,    8
bg-plot-decks-back.png,            plot-decks,   d2e,   base game,             cursed-by-power,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   plot-decks-back,              xxxxx,    8
bg-summon-merick.png,              plot-decks,   d2e,   base game,             cursed-by-power,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   summon - merick,              xxxxx,    8
bg-thaumaturgy.png,                plot-decks,   d2e,   base game,             cursed-by-power,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   thaumaturgy,                  xxxxx,    8
bg-the-dark-mark.png,              plot-decks,   d2e,   base game,             cursed-by-power,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the dark mark,                xxxxx,    8
bg-the-grasping-grave.png,         plot-decks,   d2e,   base game,             cursed-by-power,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the grasping grave,           xxxxx,    8
bg-bad-dreams.png,                 plot-decks,   d2e,   base game,             endless-thirst,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bad dreams,                   xxxxx,    8
bg-bloodline.png,                  plot-decks,   d2e,   base game,             endless-thirst,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bloodline,                    xxxxx,    8
