# Image Name                     Asset Name   Game   Expansion               AST1           AST2     AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description                Asset #   Printflag
bg-dawnblade.png,                relics,      d2e,   base game,              heroes,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   dawnblade,                 xxxxx,    8
bg-fortunas-dice.png,            relics,      d2e,   base game,              heroes,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   fortuna's dice,            xxxxx,    8
bg-shield-of-the-dark-god.png,   relics,      d2e,   base game,              heroes,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   shield of the dark god,    xxxxx,    8
bg-staff-of-light.png,           relics,      d2e,   base game,              heroes,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   staff of light,            xxxxx,    8
bg-the-shadow-rune.png,          relics,      d2e,   base game,              heroes,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the shadow rune,           xxxxx,    8
bg-trueshot.png,                 relics,      d2e,   base game,              heroes,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   trueshot,                  xxxxx,    8
bg-bones-of-woe.png,             relics,      d2e,   base game,              lieutenants,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bones of woe,              xxxxx,    8
bg-duskblade.png,                relics,      d2e,   base game,              lieutenants,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   duskblade,                 xxxxx,    8
bg-scorpions-kiss.png,           relics,      d2e,   base game,              lieutenants,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   scorpion's kiss,           xxxxx,    8
bg-shield-of-zoreks-favor.png,   relics,      d2e,   base game,              lieutenants,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   shield of zorek's favor,   xxxxx,    8
bg-staff-of-shadows.png,         relics,      d2e,   base game,              lieutenants,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   staff of shadows,          xxxxx,    8
bg-the-shadow-rune.png,          relics,      d2e,   base game,              lieutenants,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the shadow rune,           xxxxx,    8
lr-gauntlets-of-power.png,       relics,      d2e,   labyrinth of ruin,      heroes,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   gauntlets of power,        xxxxx,    8
lr-living-heart.png,             relics,      d2e,   labyrinth of ruin,      heroes,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   living heart,              xxxxx,    8
lr-sun-stone.png,                relics,      d2e,   labyrinth of ruin,      heroes,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   sun stone,                 xxxxx,    8
lr-fallen-heart.png,             relics,      d2e,   labyrinth of ruin,      lieutenants,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   fallen heart,              xxxxx,    8
lr-gauntlets-of-spite.png,       relics,      d2e,   labyrinth of ruin,      lieutenants,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   gauntlets of spite,        xxxxx,    8
lr-suns-fury.png,                relics,      d2e,   labyrinth of ruin,      lieutenants,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   sun's fury,                xxxxx,    8
