# Image Name                       Asset Name   Game    Expansion                   AST1    AST2     AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description                 Asset #   Printflag
bw-one-mans-trash.png,             rumors,      d2e,    bonds of the wild,          act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   one man's trash,            xxxxx,    8
bw-rumors-back.png,                rumors,      d2e,    bonds of the wild,          act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rumors-back,                xxxxx,    8
cd-burning-harvest.png,            rumors,      d2e,    crown of destiny,           act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   burning harvest,            xxxxx,    8
cd-rumors-back.png,                rumors,      d2e,    crown of destiny,           act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rumors-back,                xxxxx,    0
cf-crusade-of-the-forgotten.png,   rumors,      d2e,    crusade of the forgotten,   act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   crusade of the forgotten,   xxxxx,    8
cf-rumors-back.png,                rumors,      d2e,    crusade of the forgotten,   act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rumors-back,                xxxxx,    0
gd-guardians-of-deephall.png,      rumors,      d2e,    guardians of deephall,      act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   guardians of deephall,      xxxxx,    8
gd-rumors-back.png,                rumors,      d2e,    guardians of deephall,      act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rumors-back,                xxxxx,    0
lw-a-dangerous-path.png,           rumors,      d2e,    lair of the wyrm,           act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   a dangerous path,           xxxxx,    8
lw-gold-digger.png,                rumors,      d2e,    lair of the wyrm,           act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   gold digger,                xxxxx,    8
lw-rude-awakening.png,             rumors,      d2e,    lair of the wyrm,           act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rude awakening,             xxxxx,    8
lw-rumors-back.png,                rumors,      d2e,    lair of the wyrm,           act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rumors-back,                xxxxx,    0
lw-valyndras-fury.png,             rumors,      d2e,    lair of the wyrm,           act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   valyndra's fury,            xxxxx,    8
lw-whats-yours-is-mine.png,        rumors,      d2e,    lair of the wyrm,           act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   what's yours is mine,       xxxxx,    8
lw-rumors-back.png,                rumors,      d2e,    lair of the wyrm,           actx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rumors-back,                xxxxx,    0
lw-unknown-treasures.png,          rumors,      d2e,    lair of the wyrm,           actx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   unknown treasures,          xxxxx,    8
mr-cursed-treasures.png,           rumors,      d2e,    manor of ravens,            act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   cursed treasures,           xxxxx,    8
mr-finders-and-keepers.png,        rumors,      d2e,    manor of ravens,            act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   finders and keepers,        xxxxx,    8
