# Image Name                    Asset Name      Game   Expansion           AST1     AST2     AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description               Asset #   Printflag
lw-brigands-quarters.png,       secret-rooms,   d2e,   lair of the wyrm,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   brigand's quarters,       xxxxx,    8
lw-hidden-stash.png,            secret-rooms,   d2e,   lair of the wyrm,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   hidden stash,             xxxxx,    8
lw-hidden-stash-errata.png,     secret-rooms,   d2e,   lair of the wyrm,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   hidden stash errata,      xxxxx,    8
lw-secret-rooms-back.png,       secret-rooms,   d2e,   lair of the wyrm,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   secret-rooms-back,        xxxxx,    8
lw-the-armory.png,              secret-rooms,   d2e,   lair of the wyrm,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the armory,               xxxxx,    8
lw-the-dark-council.png,        secret-rooms,   d2e,   lair of the wyrm,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the dark council,         xxxxx,    8
lw-the-dragon-shrine.png,       secret-rooms,   d2e,   lair of the wyrm,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the dragon shrine,        xxxxx,    8
lw-the-lorekeepers-vault.png,   secret-rooms,   d2e,   lair of the wyrm,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the lorekeeper's vault,   xxxxx,    8
tf-cursed-tomb.png,             secret-rooms,   d2e,   the trollfens,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   cursed tomb,              xxxxx,    8
tf-overgrown-chasm.png,         secret-rooms,   d2e,   the trollfens,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   overgrown chasm,          xxxxx,    8
tf-place-of-peace.png,          secret-rooms,   d2e,   the trollfens,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   place of peace,           xxxxx,    8
tf-room-of-keys.png,            secret-rooms,   d2e,   the trollfens,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   room of keys,             xxxxx,    8
tf-secret-rooms-back.png,       secret-rooms,   d2e,   the trollfens,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   secret-rooms-back,        xxxxx,    0
tf-tainted-spring.png,          secret-rooms,   d2e,   the trollfens,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   tainted spring,           xxxxx,    8
tf-tainted-spring-errata.png,   secret-rooms,   d2e,   the trollfens,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   tainted spring errata,    xxxxx,    8
tf-troll-pit.png,               secret-rooms,   d2e,   the trollfens,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   troll pit,                xxxxx,    8
