# Image Name                     Asset Name    Game    Expansion               AST1    AST2     AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description             Asset #   Printflag
bg-chainmail.png,                shop-items,   d2e,    base game,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   chainmail,              xxxxx,    8
bg-crossbow.png,                 shop-items,   d2e,    base game,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   crossbow,               xxxxx,    8
bg-elm-greatbow.png,             shop-items,   d2e,    base game,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   elm greatbow,           xxxxx,    8
bg-heavy-cloak.png,              shop-items,   d2e,    base game,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   heavy cloak,            xxxxx,    8
bg-immolation.png,               shop-items,   d2e,    base game,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   immolation,             xxxxx,    8
bg-iron-battleaxe.png,           shop-items,   d2e,    base game,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   iron battleaxe,         xxxxx,    8
bg-iron-shield.png,              shop-items,   d2e,    base game,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   iron shield,            xxxxx,    8
bg-iron-spear.png,               shop-items,   d2e,    base game,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   iron spear,             xxxxx,    8
bg-leather-armor.png,            shop-items,   d2e,    base game,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   leather armor,          xxxxx,    8
bg-light-hammer.png,             shop-items,   d2e,    base game,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   light hammer,           xxxxx,    8
bg-lucky-charm.png,              shop-items,   d2e,    base game,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lucky charm,            xxxxx,    8
bg-magic-staff.png,              shop-items,   d2e,    base game,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   magic staff,            xxxxx,    8
bg-mana-weave.png,               shop-items,   d2e,    base game,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   mana weave,             xxxxx,    8
bg-ring-of-power.png,            shop-items,   d2e,    base game,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ring of power,          xxxxx,    8
bg-scorpion-helm.png,            shop-items,   d2e,    base game,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   scorpion helm,          xxxxx,    8
bg-shop-items-act1-back.png,     shop-items,   d2e,    base game,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   shop-items-act1-back,   xxxxx,    8
bg-sling.png,                    shop-items,   d2e,    base game,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   sling,                  xxxxx,    8
bg-steel-broadsword.png,         shop-items,   d2e,    base game,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   steel broadsword,       xxxxx,    8
bg-sunburst.png,                 shop-items,   d2e,    base game,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   sunburst,               xxxxx,    8
bg-demonhide-leather.png,        shop-items,   d2e,    base game,              act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   demonhide leather,      xxxxx,    8
bg-dragontooth-hammer.png,       shop-items,   d2e,    base game,              act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   dragontooth hammer,     xxxxx,    8
bg-dwarven-firebomb.png,         shop-items,   d2e,    base game,              act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   dwarven firebomb,       xxxxx,    8
bg-elven-cloak.png,              shop-items,   d2e,    base game,              act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   elven cloak,            xxxxx,    8
bg-grinding-axe.png,             shop-items,   d2e,    base game,              act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   grinding axe,           xxxxx,    8
bg-heavy-steel-shield.png,       shop-items,   d2e,    base game,              act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   heavy steel shield,     xxxxx,    8
bg-ice-storm.png,                shop-items,   d2e,    base game,              act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ice storm,              xxxxx,    8
bg-iron-bound-ring.png,          shop-items,   d2e,    base game,              act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   iron-bound ring,        xxxxx,    8
bg-latari-longbow.png,           shop-items,   d2e,    base game,              act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   latari longbow,         xxxxx,    8
bg-lightning-strike.png,         shop-items,   d2e,    base game,              act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lightning strike,       xxxxx,    8
bg-mace-of-kellos.png,           shop-items,   d2e,    base game,              act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   mace of kellos,         xxxxx,    8
bg-platemail.png,                shop-items,   d2e,    base game,              act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   platemail,              xxxxx,    8
bg-shop-items-act2-back.png,     shop-items,   d2e,    base game,              act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   shop-items-act2-back,   xxxxx,    8
bg-steel-greatsword.png,         shop-items,   d2e,    base game,              act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   steel greatsword,       xxxxx,    8
bg-tival-crystal.png,            shop-items,   d2e,    base game,              act2,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   tival crystal,          xxxxx,    8
