# Image Name                          Asset Name   Game    Expansion               AST1               AST2     AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description                  Asset #   Printflag
bg-healer-token.png,                  tokens,      d2e,    base game,              archetypes,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   healer token,                xxxxx,    1
bg-mage-token.png,                    tokens,      d2e,    base game,              archetypes,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   mage token,                  xxxxx,    1
bg-scout-token.png,                   tokens,      d2e,    base game,              archetypes,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   scout token,                 xxxxx,    1
bg-warrior-token.png,                 tokens,      d2e,    base game,              archetypes,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   warrior token,               xxxxx,    1
bg-reanimate-token.png,               tokens,      d2e,    base game,              class-familiars,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   reanimate token,             xxxxx,    1
bg-diseased-token.png,                tokens,      d2e,    base game,              conditions,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   diseased token,              xxxxx,    1
bg-immobilized-token.png,             tokens,      d2e,    base game,              conditions,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   immobilized token,           xxxxx,    1
bg-poisoned-token.png,                tokens,      d2e,    base game,              conditions,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   poisoned token,              xxxxx,    1
bg-stunned-token.png,                 tokens,      d2e,    base game,              conditions,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   stunned token,               xxxxx,    1
bg-fatigue-token.png,                 tokens,      d2e,    base game,              heroes,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   fatigue token,               xxxxx,    1
bg-heart-1-token.png,                 tokens,      d2e,    base game,              heroes,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   1 damage token,              xxxxx,    1
bg-heart-5-token.png,                 tokens,      d2e,    base game,              heroes,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   5 damage token,              xxxxx,    1
bg-hero-bronze-token.png,             tokens,      d2e,    base game,              heroes,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bronze hero token,           xxxxx,    1
bg-hero-gold-token.png,               tokens,      d2e,    base game,              heroes,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   gold hero token,             xxxxx,    1
bg-hero-purple-token.png,             tokens,      d2e,    base game,              heroes,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   purple hero token,           xxxxx,    1
bg-hero-silver-token.png,             tokens,      d2e,    base game,              heroes,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   silver hero token,           xxxxx,    1
bg-baron-zachareth-token.png,         tokens,      d2e,    base game,              lieutenants,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   baron zachareth token,       xxxxx,    1
bg-belthir-token.png,                 tokens,      d2e,    base game,              lieutenants,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   belthir token,               xxxxx,    1
bg-fortune-token.png,                 tokens,      d2e,    base game,              lieutenants,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   fortune token,               xxxxx,    1
bg-lady-eliza-farrow-token.png,       tokens,      d2e,    base game,              lieutenants,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lady eliza farrow token,     xxxxx,    1
bg-lord-merick-farrow-token.png,      tokens,      d2e,    base game,              lieutenants,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lord merick farrow token,    xxxxx,    1
bg-sir-alric-farrow-token.png,        tokens,      d2e,    base game,              lieutenants,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   sir alric farrow token,      xxxxx,    1
bg-splig-token.png,                   tokens,      d2e,    base game,              lieutenants,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   splig token,                 xxxxx,    1
bg-threat-token.png,                  tokens,      d2e,    base game,              lieutenants,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   threat token,                xxxxx,    1
bg-monster-inactive-token.png,        tokens,      d2e,    base game,              monsters,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   monster inactive token,      xxxxx,    1
bg-blue-objective-token.png,          tokens,      d2e,    base game,              objectives,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   objective token,             xxxxx,    1
bg-green-objective-token.png,         tokens,      d2e,    base game,              objectives,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   objective token,             xxxxx,    1
bg-red-objective-token.png,           tokens,      d2e,    base game,              objectives,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   objective token,             xxxxx,    1
bg-white-objective-token.png,         tokens,      d2e,    base game,              objectives,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   objective token,             xxxxx,    1
bg-objective-token-back.png,          tokens,      d2e,    base game,              objectives,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   objective-token-back,        xxxxx,    1
bg-infection-token.png,               tokens,      d2e,    base game,              overlord,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   infection token,             xxxxx,    1
bg-green-influence-token.png,         tokens,      d2e,    base game,              overlord,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   influence token,             xxxxx,    1
bg-purple-influence-token.png,        tokens,      d2e,    base game,              overlord,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   influence token,             xxxxx,    1
