# Image Name                      Asset Name           Game   Expansion               AST1     AST2     AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description                 Asset #   Printflag
bg-travel-event-1-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bg travel event 1 of 10,    xxxxx,    8
bg-travel-event-1-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   standing stones,            xxxxx,    8
bg-travel-event-1-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   weeping,                    xxxxx,    8
bg-travel-event-1-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   unforgiving slopes,         xxxxx,    8
bg-travel-event-2-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bg travel event 2 of 10,    xxxxx,    8
bg-travel-event-2-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   traveling merchant,         xxxxx,    8
bg-travel-event-2-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   band of refugees,           xxxxx,    8
bg-travel-event-2-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lost,                       xxxxx,    8
bg-travel-event-3-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bg travel event 3 of 10,    xxxxx,    8
bg-travel-event-3-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   smoke,                      xxxxx,    8
bg-travel-event-3-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   glade,                      xxxxx,    8
bg-travel-event-3-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   mountains,                  xxxxx,    8
bg-travel-event-4-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bg travel event 4 of 10,    xxxxx,    8
bg-travel-event-4-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lawless brigands,           xxxxx,    8
bg-travel-event-4-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   webs hang everywhere,       xxxxx,    8
bg-travel-event-4-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   something glimmers,         xxxxx,    8
bg-travel-event-5-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bg travel event 5 of 10,    xxxxx,    8
bg-travel-event-5-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   latari elves,               xxxxx,    8
bg-travel-event-5-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   dwarf of dunwarr,           xxxxx,    8
bg-travel-event-5-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bloated corpses,            xxxxx,    8
bg-travel-event-6-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bg travel event 6 of 10,    xxxxx,    8
bg-travel-event-6-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   hidden path,                xxxxx,    8
bg-travel-event-6-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   minions emerge,             xxxxx,    8
bg-travel-event-7-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bg travel event 7 of 10,    xxxxx,    8
bg-travel-event-7-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   traveling sage,             xxxxx,    8
bg-travel-event-7-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   spiders,                    xxxxx,    8
bg-travel-event-7-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   pestilential miasma,        xxxxx,    8
bg-travel-event-8-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bg travel event 8 of 10,    xxxxx,    8
bg-travel-event-8-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   farm already burning,       xxxxx,    8
bg-travel-event-8-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   cave mouth,                 xxxxx,    8
bg-travel-event-8-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   robed figure,               xxxxx,    8
bg-travel-event-9-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bg travel event 9 of 10,    xxxxx,    8
bg-travel-event-9-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   spies,                      xxxxx,    8
bg-travel-event-9-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   landslide,                  xxxxx,    8
bg-travel-event-9-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   last night's rain,          xxxxx,    8
bg-travel-event-10-of-10.png,     travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bg travel event 10 of 10,   xxxxx,    8
bg-travel-event-10-of-10.png,     travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   orchard,                    xxxxx,    8
bg-travel-event-10-of-10.png,     travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   arrows fly,                 xxxxx,    8
